Include political parties, trade unions, POI (e.g. cafe), and holding institutions		Activity years		Places	Fill in only if  Palestine		number, address	Free text: if there is no street address	Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (private)	any other note (private)
Organisation or POI	Type	From year	To year	City	District	Country	Street address	Description	Literary event	Relation to event	Phone number	Email	Webpage	Sources private	Sources public	Other notes
Palestine Liberation Organisation	Political party			Gaza	Gaza	Palestine			private-meet-gaza-19987	organised by						
Palestinian National Authority									private-meet-gaza-19987	took place at						
الحركة الإسلامية	Political party		2015	Umm Al-Fahm		Palestine										Banned in 2015
مدرسة اللاتين بالناصرة	School			Nazareth		Palestine										
مدرسة المعارف بالناصرة	School			Nazareth		Palestine										
الكلية العربية بالقدس	College	1918	1948	Jerusalem		Palestine	جبل المكبر									
المدرسة الثانوية بالناصرة	School			Nazareth		Palestine										
اتحاد الشبيبة الديمقراطية بالناصرة	Political organisation			Nazareth		Palestine										
الحزب الشيوعي الإسرائيلي	Political party	1948				Israel										
صحيفة الاتحاد	Newspaper publisher	1944		Haifa		Israel	شارع مار يوحنا، 39									
مجلة الجديد	Magazine publisher	1951	1991	Haifa		Israel										
الكلية الأرثوذكسية العربية في حيفا	College			Haifa		Israel										
جامعة حيفا	University			Haifa		Israel										
مجلة المواكب	Magazine publisher	1984		Nazareth		Israel										
كلية المعلمين العرب	College			Haifa		Israel										
مجلة مواقف	Magazine publisher	1995	2007	Nazareth		Israel										
مجلة المنتدى	Magazine publisher	1943	1947	Jerusalem		Palestine		مجلة دار الإذاعة الفلسطينية								
مجلة الغد	Magazine publisher	1944	1946	Jerusalem		Palestine	ساحة اللنبي	مجلة سياسية ثقافية اجتماعية نصف شهرية تصدرها رابطة المثقفين العرب في فلسطين	L3003	took place at					Mahr al-Buma by Hanna Abu Hanna, pp. 60	
رابطة المثقفين العرب	Political organisation	1937	1948			Palestine										
دار المعلمات بالقدس	College	1919		Jerusalem		Palestine										
عصبة التحرر الوطني	Political organisation	1943	1949			Palestine										
مدرسة النجاح الوطنية	College	1918	1941	Nablus		Palestine										
كلية النجاح الوطنية	College	1941	1976	Nablus		Palestine										
جامعة النجاح	University	1976		Nablus		Palestine										
مدرسة الشرطة ببيت لحم	College			Bethlehem		Palestine										
الكلية العسكرية ببغداد	College			Baghdad		Iraq										
مدرسة العشار بالبصرة	School			Basra		Iraq										
المدرسة المأمونية	School			Jerusalem		Israel										
مدرسة الحكومة في عكا	School			Acre		Israel										
كلية شميدت للبنات	School			Jerusalem		Israel										
American University of Beirut	University			Beirut		Lebanon										
University of London	University			London		United Kingdom										
Teachers College for Women Jerusalem	College			Jerusalem		Israel										
University of Khartoum	University			Khartoum		Sudan										
University of Algiers	University			Alger		Algeria										
University of Constantine	University			Constantine		Algeria										
University of Utah	University			Salt Lake City		United States										
University of Washington	University			Seattle		United States										
University of Texas	University			Austin		United States										
