Identifiers: at least one of these fields is mandatory. @en is not mandatory! If the @ar  is available use this across tables. Include (YYYY-YYYY) for omonyms						Current or  last known	Either a prior one  or dual citizenship	year (YYYY) or date (YYYY-MM-DD) are in alternative Fill the district only if Palestine					year (YYYY) or date (YYYY-MM-DD) are in alternative Fill the district only if Palestine.								Relation to table Literary events 		Relatives  (only people recorded in a row)		use the separator ; for multiple values  (please copy & paste to avoid typos)			include acquaintances		free-text (public)	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
VIAF	Name @en	Name @ar	Pen names	Gender	Religion	Country of citiz. 	Country of citiz. (2)	Birth  date	Birth year	Birth city	Birth district	Birth country	Death  date	Death year	Death city	Death district	Death country	Manner of death	Cause of death	Literary  movement	Literary event	Relation  to event	Mother	Father	Siblings	Spouses	Children	Friends	Influenced by person	Biography	Sources public	Sources private	Other notes
		أبو بكر, وليد		Male		Italy	Palestine	1986-11-28		Gaza		Palestine									private-meet-gaza-19987;L2	has participant			Adam								
		أبو حسن, عزمي	sosgang	Male																	L1												
		أبو حلتم, محمد		Male																													
		أبو دية, حسن		Male																													
		أبو الرب, عمر		Male																													
		أبو شومر, توفيق		Male																													
		أبو صبح, موفق		Male																													
		أبو غربية,   داود		Male																													
		ابو غوش, عدنان		Male																													
		الأسعد, أسعد		Male																													
		البس, فتحي		Male																													
		بدارين, لؤي		Male																													
		برانسي, صالح		Male																													
		البرغوثي, عبد اللطيف		Male																													
		بسيسو, فؤاد		Male																													
		البيشاوي, سعيد		Male																													
		التالوتي, عبد المالك		Female																													
		جابر,  محمد		Male																													
		جبر,  يحيى		Male																													
		جبرين, عامر		Male																													
		جبرين, موسى		Male																													
		جرادات, حسن		Male																													
		جرادات, نافز		Male																													
		الجعبة, محمد		Male																													
		جندي, سمير		Male																													
		جودة, أكرم		Male																													
		الجيوسي, محمد		Female																													
		الحاج, فخري		Male																													
		حبش, زينب		Male																													
		حجازي, سعد الدين		Male																													
		حجازي, يعقوب		Male																													
		الحسن, إبراهيم		Male																													
		حسين, ذبلان حسين		Male																													
		الحسيني,  محمد		Male																													
		الحلايقة, فرج		Male																													
		خليل, سميحة		Male																													
		خميس, وليد		Male																													
		داود, إبراهيم		Male																													
		درويش, احمد		Male																													
		الدلو,  جواد		Male																													
		دنديس, وائل		Male																													
		دويدار, عبد الله		Male																													
		الدويك, وائل		Male																													
		راحيل, يوسف		Male																													
		الرفاعي, هبة		Male																													
		رمضان,  نزار		Male																													
		زريق, قسطنطين		Male																													
		زعموري, عودة		Male																													
		السبع, محمود		Male																													
		السبعاوي, عبد الكريم		Male																													
		السقا, عبد الجواد		Female																													
		سلامة,  أميرة		Male																													
		سليمان, أحمد		Male																													
		سماعنة, محمد		Male																													
		سويف, اهداف		Female																													
		الشاعر, عماد		Male																													
		شبلاق, رياض		Male																													
		شريم, مروان		Male																													
		الشقيري, احمد		Male																													
		الشوابكة, جمال		Male																													
		شبلاق, رياض		Male																													
		شبيب, سميح		Male																													
		الشوا, باسم		Male																													
		صبح,  روحي		Male																													
		صبح, محمد		Male																													
		صالح, حسين		Male																													
		الضامن, غسان		Male																													
		طعمة, كفاية		Male																													
		طقاطقة, عيسى		Male																													
		طه, المتوكل		Male																													
		الظافر, عمر		Male																													
		عبد الله, غسان		Male																													
		عبد الله, مازن		Male																													
		عبد النجار,عايش		Male																													
		عبد الهادي, سعد		Female																													
		عبد الهادي, سميرة		Male																													
		عدنان, ماهر		Male																													
		عدوان, مجدي		Male																													
		عرمان, محمد		Male																													
		عقل, عبد اللطيف		Male																													
		علقم, جميلة		Female																													
		علوش, موسى		Male																													
		علي, أحمد		Male																													
		   علي, صبحي محمد  		Male																													
		عليان, عادل		Male																													
		عليوي,  ناجح		Male																													
		عواد, ناصيف		Male																													
		عواد, يوسف		Male																													
		عوض, فريد		Male																													
		عيسى, عبد المنعم		Male																													
		الغرابلي, محمود		Male																													
		الغزاوي, عزت		Male																													
		غنام, تيسير		Male																													
		الفرارجة, هشام		Male																													
		قاسم, جهاد		Male																													
		القبج, سامح		Male																													
		قطامش, أحمد		Male																													
		قعوار, جمال		Male																													
		القلقيلي, عبد الفتاح		Male																													
		اللبدي, محمد		Male																													
		مرعي, سامي		Male																													
		مزعرو , وفاء		Male																													
		مصلح, روز		Female																													
		منصور, سمير		Male																													
		مطور, عمر		Male																													
		منصور, نادر		Male																													
		نافع,  حسونة		Male																													
		الهودلي, عبد الجابر		Male																													
		الهبيل, عبد الرحيم		Male																													
		هرماس, غسان		Male																													
		الهشلمونة, نايف		Female																													
		هنية, اكرم		Male																													
		الوحش, سوسن		Male																													
		ياغي,  صبحي		Male																													
		  اليازجي, ابراهيم		Male																													
		يونس, أمين		Male																													
		يوسف, فوزي		Male																													
