Publishing house		Activity years		Places	Fill in only if  Palestine		number, address						Relation to table Literary events 					free-text: sources  and links (private)	free-text: sources  and links (public)		any other note (private)
Name @en	Name @ar	From year	To year	City	District	Country	Street address	Phone number	Email	Webpage	Political affiliation	Union affiliation	Literary event	Relation to event	Founder name @en	Founder name @ar	Founder name 2 @ar	Sources private	Sources public	Notes	Other notes
	دار الطليعة			Beirut		Lebanon															
	 اتحاد الأدباء العراقيين			Baghdad		Iraq															
	 اتحاد الكتاب والادباء الاردنيين 			Amman		Jordan															
	 الاتحاد العام للمرأة العراقية			Baghdad		Iraq															
	 اللجنة الوطنية العليا لإعلان عمان عاصمة للثقافة العربية			Jerusalem		Jordan															
	 المركز العربي للدراسات و الأبحاث			Doha		Qatar															
	 بيت الشعر 			Al-Bira		Palestine															
	 جمعية إنعاش الأسرة 			Al-Bira		Palestine															
	 حزب التجمع الوطني التقدمي الوحدوي			Cairo		Egypt															
	 دار الصدى للصحافة و النشر و التوزيع			Dubai		United Arab Emirates															
	 دار المعلمين			Jerusalem		Palestine															
	 دار الموقف العربي			Cairo		Egypt															
	 دار فضاءات للنشر والتوزيع			Amman		Jordan															
	 شركة الجمانة للنشر والترجمة والاشترات الأدبية 			Beirut		Lebanon															
	 مؤسسة نصار للنشر والتوزيع 			Nicosia		Cyprus															
	 مكتب القدس			Jerusalem																	
	 مكتب القدس			Haifa																	
	 نقابة اتحاد الناشرين في لبنان			Beirut		Lebanon															
	أرض الرباط للنشر	2006		Qalqilya		Palestine		00 970 092940032								شريم, مروان			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	ألمكتبة الاكاديمية			Hebron		Palestine	Al-Haras,Hebron,West Bank,Palestine.	00 972 2 2221878	Info@academic.ps	http://www.academic.ps/									https://www.facebook.com/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-188746044507193/	Main publishing branch in Hebron. Also a book store in universities of Bir Zeit, Abu Dis and Nablus	
	ألمكتبة الاكاديمية			Bir Zeit		Palestine	Ramallah:Birzeit University Bookstore.	00 970 2 2982983	bzubookstore@academic.ps	http://www.academic.ps/									https://www.facebook.com/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-188746044507193/	Main publishing branch in Hebron. Also a book store in universities of Bir Zeit, Abu Dis and Nablus	
	ألمكتبة الاكاديمية			Abu Dis		Palestine	Opposite Al-Quds University, Abu Dis	00 970 2 2792422	qubookstore@academic.ps	http://www.academic.ps/									https://www.facebook.com/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-188746044507193/	Main publishing branch in Hebron. Also a book store in universities of Bir Zeit, Abu Dis and Nablus	
	ألمكتبة الاكاديمية			Nablus		Palestine	An Najah University Bookstore	00 970 9 2352491	anubookstore@academic.ps	http://www.academic.ps/									https://www.facebook.com/%D8%B4%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%A7%D9%84%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-188746044507193/	Main publishing branch in Hebron. Also a book store in universities of Bir Zeit, Abu Dis and Nablus	
	إتحاد الكتاب اللبنانيين			Beirut		Lebanon															
	إتحاد كتاب آسيا وافريقيا			Nicosia		Cyprus															
	إتحاد كتاب آسيا وافريقيا			Cairo		Egypt															
	إتحاد كتاب المغرب العربي			Rabat		Morocco															
	ابن رشد للنشر	2006		Gaza		Palestine		00 970 08288337											http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	ابوغوش للنشر والتوزيع			Jerusalem		Palestine		00 972 505464421	abugoshco@gmail.com	https://www.facebook.com/pages/category/Retail-Company/%D9%85%D9%83%D8%AA%D8%A8%D8%A9-%D8%B9%D8%AF%D9%86%D8%A7%D9%86-%D8%A7%D8%A8%D9%88-%D8%BA%D9%88%D8%B4-1961013247478545/						ابو غوش, عدنان	الرفاعي, هبة	book.com/pg/مكتبة-عدنان-ابو-غوش-1961013247478545/about/?ref=page_internal			
	اتحاد الشباب الفلسطيني	1992		Ramallah		Palestine	رام الله، شارع النزهة، عمارة البرج الأخضر ط (3-)	00 972 22981313	pyu@pyu-pal.org	http://www.pyu-pal.org/ar	Palestinian National Authority	اتحاد الشباب الفلسطيني							Supported by IROMED, EU, PNA Ministry of Culture, Together for Change, UNDP		
	اتحاد الكتاب  والادباء الفلسطينيين			Ramallah		Palestine		00 970 599757704	gupw2010@gmail.com	http://www.gupw.ps/		الاتحاد العام للكتاب والأدباء الفلسطينيين						Link about union members based in West Bank, Gaza, diaspora and 1948 territories listed as تحت الانشاء or in construction			
	اتحاد الكتاب  والادباء الفلسطينيين			Gaza		Palestine		00 970 599772770	gupw18@gmail.com	http://www.gupw.ps/								Link about union members based in West Bank, Gaza, diaspora and 1948 territories listed as تحت الانشاء or in construction			
	اتحاد الكتاب العرب			Damascus		Syria															
	اتحاد الكتاب الفلسطينيين			Nablus		Palestine				http://www.gupw.ps/		الاتحاد العام للكتاب والأدباء الفلسطينيين							https://www.palestinapedia.net/%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D9%84%D9%84%D9%83%D8%AA%D8%A7%D8%A8-%D9%88%D8%A7%D9%84%D8%B5%D8%AD%D9%81%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D9%81%D9%84%D8%B3/	Union under this name stopped in 1999 after members decided to divide profession of literary writing from that of journalism	
	ادب المقاومة			Beirut		Lebanon															
	اصدار الشرق			Tel Aviv		Israel				http://www.gupw.ps/											
	الأدبية للطباعة والنشر	1997		Hebron		Palestine		00 970 9927284								الشوابكة, جمال			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الاتحاد العام للادباء العرب			Cairo		Egypt															
	الاتحاد العام للطلاب الفلسطينين			Cairo		Egypt															
	الاتحاد العام للكتاب والصحافيين الفلسطينيين	1966	1999	Gaza		Palestine				http://www.gupw.ps/		الاتحاد العام للكتاب والأدباء الفلسطينيين									
	الاتحاد العام للكتاب والصحافيين الفلسطينيين			Beirut		Lebanon															
	الآن ناشرون وموزعون			Amman		Jordan															
	الاهلية للنشر والتوزيع			Amman		Jordan															
	البشير	1996		Gaza		Palestine		00 970 0868388								الدلو, جواد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الجامعة العربية الامريكية			Beirut		Lebanon															
	الجبهة الديمقراطية لتحرير فلسطين			Jerusalem		Palestine															
	الجبهة الشعبة لتحرير فلسطين			Beirut		Lebanon															
	الجبهة الشعبة لتحرير فلسطين			Damascus		Syria															
	الجبهة الشعبية الديمقراطية لتحرير فلسطين			Amman		Jordan															
	الجرمق للنشر والتوزيع	2003		Bethlehem		Palestine		00 970 050637286								علقم, جميلة		Alternative first name in brackets (امل)	http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الجمعية العلمية الفلسطينية			Nablus		Palestine															
	الجمعية العلمية الفلسطينية للابداع والتطوير	2012		Jericho		Palestine													https://www.maannews.net/news/481363.html		
	الجمعية الفلسطينية الاكاديمية للشؤون الدولية			Jerusalem		Palestine	جامعة النجاح الوطنية – الحرم الجامعي القديم	00 970  92345115	info@njah.edu	https://www.najah.edu/ar/						خليل, سميحة				خليل, سميحة	
	الخيمة جمعية للتربية والتنمية			Al-Tayyiba		Palestine															
	الدار الأبجدية العربية	1998		Bethlehem		Palestine		00 970 2772644								الوحش, سوسن			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الدار الاردنية للثقأفة والاعلام			Amman		Jordan															
	الدار العربية للعلوم ناشرون			Beirut		Lebanon															
	الدار العربية للنشر	1996		Ramallah		Palestine															
	الدار الفلسطينية	1995		Nablus		Palestine										الظافر, عمر			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الدار الوطنية للترجمة والطباعة والنشر والتوزيع			Nablus		Palestine										جبر, يحيى			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الدار الوطنية للطباعة والنشر	1996		Qalqilya		Palestine		00 970 0942111								عواد, ناصيف			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الرعاة للدراسات والنشر			Ramallah		Palestine															
	الرقمية للنشر والتوزيع			Jerusalem		Palestine			info@alraqamia.com	https://alraqamia.com/user/profile/publisher/9											
	الزيتونة للطباعة والنشر	1997		Ramallah		Palestine		00 970 2987289								الحسن, إبراهيم			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
	الزيزفونة لتنمية ثقافة الطفل			Ramallah		Palestine				https://www.facebook.com/pages/%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D8%B2%D9%8A%D8%B2%D9%81%D9%88%D9%86%D8%A9-%D9%84%D8%AA%D9%86%D9%85%D9%8A%D8%A9-%D8%AB%D9%82%D8%A7%D9%81%D8%A9-%D8%A7%D9%84%D8%B7%D9%81%D9%84/1450938785219700											
	السروجي للطباعة والنشر			Acre		Israel													https://alraqamia.com/pages/index/3	Digital formats of publishing are a way for authors to find new platforms despite occupation	
	السقا	1996		Gaza		Palestine		00 970 0851206								السقا, عبد الجواد			http://info.wafa.ps/ar_page.aspx?id=9384	WAFA source lists data the permit was issued and to whom. May not be founder & year that the publisher started	
