Person (use one the names used in table People, you  can repeat the person name in several rows)			The organisation to which the person  is related (if applicable)	This field is alternative to column D! e.g. magazine title		Places related to the event	Fill in only if  Palestine		Fill in either years or dates. If the event happened in a specific date or year, fill in only "From year/date" column				Only for  educational events	free-text: sources  and links (public)	free-text: sources and links (private)	any other note (private)
Person name @en	Person  name @ar	Event type	Organisation or POI	Work title	Occupation	City	District	Country	From year	To year	From date	To date	Student of	Sources public	Sources private	Other notes
	 الشنطي, إبراهيم	Employment		الدفاع	Editor	Jaffa		Palestine	1934							
	أبو حنا, حنا	Education	المدرسة الابتدائية بحيفا			Haifa		Palestine	1934	1935						
	أبو حنا, حنا	Education	مدرسة اللاتين بالناصرة			Nazareth		Palestine	1936	1939						
	أبو حنا, حنا	Education	مدرسة المعارف بالناصرة			Nazareth		Palestine	1939	1943			صباغ, سليم, نعمه؛ سليمان. خليل؛ رمضان, نصر			
	أبو حنا, حنا	Education	الكلية العربية بالقدس			Jerusalem		Palestine	1943	1947			الحسيني, موسى, إسحق؛ بشناق, عبد الرحمن؛ زيادة, نقولا؛ الخالدي, سامح, أحمد			
	أبو حنا, حنا	Employment	المدرسة الثانوية بالناصرة		Teacher	Nazareth		Palestine	1947	1950						
	أبو حنا, حنا	Membership	اتحاد الشبيبة الديمقراطية بالناصرة			Nazareth		Palestine	1948	1948						
	أبو حنا, حنا	Membership	الحزب الشيوعي الإسرائيلي					Israel	1948	1983						
	أبو حنا, حنا	Employment		صحيفة الاتحاد	Writer	Haifa		Israel	1950	1983						
	أبو حنا, حنا	Employment		مجلة الجديد	Editor	Haifa		Israel	1951	1983						
	أبو حنا, حنا	Employment	الكلية الأرثوذكسية العربية في حيفا		Teacher	Haifa		Israel	1959	1987						
	أبو حنا, حنا	Employment	جامعة حيفا		Lecturer	Haifa		Israel	1974	1993						
	أبو حنا, حنا	Employment		مجلة المواكب	Editor	Nazareth		Israel	1984	1988						
	أبو حنا, حنا	Employment	كلية المعلمين العرب		Lecturer	Haifa		Israel	1987	1995						
	أبو حنا, حنا	Employment		مجلة مواقف	Editor	Nazareth		Israel	1995	2007						
	أبو حنا, حنا	Residence				Al-Reina	Nazareth	Palestine	1928	1930						
	أبو حنا, حنا	Residence				Ramallah		Palestine	1930	1930						
	أبو حنا, حنا	Residence				Jerusalem		Palestine	1932	1933						
